run_id,arch,level,mode,seed,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s
swin_tiny_L2_pretrained_s2,swin_tiny,2,pretrained,2,0.6764705882352942,816.2622509002686,40,0.9025974025974026,0.974025974025974,0.875,0.3654529986051013,0.5004016064257029,27756206,25.11940539680209
swin_tiny_L2_scratch_s2,swin_tiny,2,scratch,2,0.1948529411764706,984.2249610424042,48,0.275974025974026,0.6006493506493507,0.1897618615151082,0.0851428943003887,0.1008032128514056,27756206,25.603207605668587
resnet50_L3_pretrained_s2,resnet50,3,pretrained,2,0.6788036410923277,836.7444126605988,39,0.9253246753246752,0.9707792207792209,0.9004329004329004,0.3384738576249096,0.4614457831325301,24139124,26.797882593524413
resnet50_L3_scratch_s2,resnet50,3,scratch,2,0.1209362808842652,407.2248463630676,19,0.1623376623376623,0.3831168831168831,0.0934240362811791,0.1341674527384376,0.1670682730923695,24139124,27.45331663590057
convnext_tiny_L3_scratch_s2,convnext_tiny,3,scratch,2,0.0052015604681404,212.1083629131317,9,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0101855163511899,0.0068273092369477,28056980,26.290820764066734
efficientnetv2_s_L3_pretrained_s2,efficientnetv2_s,3,pretrained,2,0.7438231469440832,974.5014474391936,37,0.9577922077922078,0.987012987012987,0.9448051948051948,0.4367440807397843,0.5887550200803213,20572036,27.952930176978956
efficientnetv2_s_L3_scratch_s2,efficientnetv2_s,3,scratch,2,0.4668400520156047,839.7744977474213,32,0.724025974025974,0.9285714285714286,0.658982683982684,0.2409837133546207,0.3349397590361446,20572036,26.92543268786564
vit_small_L3_pretrained_s2,vit_small,3,pretrained,2,0.6970091027308193,718.630642414093,40,0.9448051948051948,0.987012987012987,0.926948051948052,0.3860468333304714,0.5377510040160642,21784244,27.27699420600789
vit_small_L3_scratch_s2,vit_small,3,scratch,2,0.3706111833550065,1618.1264617443085,90,0.724025974025974,0.9155844155844156,0.6614718614718615,0.1544661607073406,0.2156626506024096,21784244,26.07910306649406
swin_tiny_L3_pretrained_s2,swin_tiny,3,pretrained,2,0.7542262678803641,1149.0237522125244,40,0.961038961038961,0.9902597402597404,0.948051948051948,0.4299347206426108,0.5839357429718876,27756206,25.18550923677136
swin_tiny_L3_scratch_s2,swin_tiny,3,scratch,2,0.0130039011703511,543.2341680526733,19,0.0129870129870129,0.0389610389610389,0.0017007161716361,0.0132375784171333,0.0092369477911646,27756206,25.335039168538152
resnet50_L4_pretrained_s2,resnet50,4,pretrained,2,0.713472485768501,1004.9451763629912,37,0.948051948051948,0.9805194805194806,0.9318181818181818,0.3683831103231363,0.4979919678714859,24139124,27.228884468871367
resnet50_L4_scratch_s2,resnet50,4,scratch,2,0.3557874762808349,816.0511724948883,30,0.5454545454545454,0.8246753246753247,0.4648141901388654,0.2378981135616062,0.3381526104417671,24139124,26.231784285415475
